Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
229,1378,1331,1-0,14,-,-,-,"4,5,6,7,8,9,10,11,12,13,14","10,11,12","d2d4,d1b3,d1b3,b1c3,f3e5,d1b3,e1g1,f3g3,c4b5,c4b5,h2h3","e8g8,f6e4,d8f6"
239,1995,2050,1-0,-,-,-,-,"5,6,7,8,9,10,11",-,"e4e5,e4d5,e1g1,d1h5,e1g1,c1g5,f3f7",-
238,2044,2124,1/2-1/2,10,-,-,-,"9,10,10","11,13,14","f1c4,b5c6,b5c6","e7c8,d6e7,c5d4"
245,1377,1336,1-0,-,13,-,-,"12,13",8,"e1f1,e1f1",f5e4
248,1722,1691,0-1,12,-,10,-,12,10,e1g1,a7a6
250,1215,1148,1-0,-,-,8,-,-,"7,8",-,"b4c3,h7h6"
247,1913,1977,0-1,6,-,7,-,"4,5,6","6,7","d2d4,f3d4,b1c3","f6e4,c7c5"
253,1858,1990,0-1,8,-,9,-,8,9,d4c6,c8d7
240,1341,1360,1-0,7,-,-,15,"5,6,7","8,9,10,11,12,13,14,15","h5g5,e3e4,e3e4","d6d5,d6d5,g7g5,d6d5,e7d8,e7g5,e5c6,e7d7"
243,1823,1821,1-0,-,12,8,-,"4,5,6,7,8,9,10,10,11,11,12,12",8,"h2h3,h2h3,d1f3,a2a3,a2a3,a2a3,a2a4,a2a3,e4d5,e4d5,e4d5,e4d5",b7b5
251,1217,1234,1-0,9,-,9,-,"5,6,7,8,9",9,"b1c3,c4b5,a2a4,a2a4,a2a4",h7h6
249,1441,1337,1/2-1/2,14,-,5,-,"9,10,11,12,13,14",5,"d3d4,c4b3,e4e5,c1h6,b1b2,c2c4",f6d5
255,1052,1104,1-0,10,-,-,-,"7,8,9,10",-,"b5d7,b3b7,b7c8,b2b3",-
257,1921,1916,1-0,8,-,8,-,8,"7,8",b5c6,"e8g8,e6d7"
246,1541,1555,1-0,15,-,-,-,"10,11,12,13,15,15",-,"e1g1,e4d5,a3a4,d4a7,f3g5,a3a4",-
256,1676,1673,0-1,8,-,8,-,"6,7,8","6,7,8","c4b3,c4b3,d3d4","d7d5,d7d5,e6e5"
261,1733,1779,1-0,-,7,5,-,7,5,e1c1,b8c6
254,1787,1837,0-1,-,13,-,-,13,"12,13,13,14,15",a2a3,"f8e7,a7a5,a7a5,c6e7,b4c3"
262,1217,1172,1-0,7,-,5,-,"5,6,7",5,"d2d3,d2d3,c3a4",d7d6
252,1147,1141,0-1,-,-,-,-,"7,8,9,10,11,12,13,14,15,15",-,"d1d5,d5f7,f7g7,e6c8,f7g7,g7f7,b1c3,c1e3,e1c1,g4e6",-
265,827,1007,0-1,-,-,-,9,-,"8,9",-,"e8c8,e8c8"
259,1059,1087,1-0,-,-,11,-,"6,7,8,9,10,11,12",11,"d4e5,c1h6,d4d5,d1h5,d1h5,d1h5,f7d8",d7d5
260,1483,1448,0-1,9,-,10,-,"4,5,6,7,8,9",10,"f3d4,e1g1,b1c3,d1b3,e1g1,d1b3",e8g8
258,1844,1868,1-0,9,-,-,-,9,"9,10,11,12,13,14,15",c1g5,"d7d5,d7d5,c6c5,b7b6,b7b6,a7b6,c8a6"
267,1326,1304,0-1,5,-,5,-,"4,5",5,"d2d3,d2d3",e8g8
266,908,1010,0-1,-,-,-,8,15,"7,8",d2d4,"e8c8,e6f5"
270,1317,1316,1-0,6,-,8,-,6,"7,8",c2c3,"d6f4,d5c4"
263,1043,1098,0-1,7,-,11,-,"4,5,6,7","8,9,11,11","f3g5,e4d5,c4b5,e1g1","d5d3,d5d3,e8g8,e8g8"
268,1911,1874,1-0,10,-,11,-,"9,10","10,11,11","b5e2,h2h3","e8c8,e8c8,e8c8"
274,1417,1523,0-1,4,-,5,-,4,5,b1c3,e5d4
264,1179,1234,0-1,12,-,12,-,"7,8,9,10,11,11,12,12","10,11,12","g1f3,c3e4,d3e4,d4d5,e4f4,e4f4,f4e5,f4e5","d6f4,a7a5,e8g8"
276,1758,1743,1-0,5,-,5,-,5,5,e1g1,e8g8
