Id,WhiteElo,BlackElo,Result,WhiteShortCastle,WhiteLongCastle,BlackShortCastle,BlackLongCastle,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
115,2341,2424,1-0,6,-,6,-,"4,5,6",6,"b1c3,e4f5,e1g1",e8g8
116,2460,2663,0-1,-,8,8,-,8,8,e1c1,a7a6
112,2609,2617,1-0,10,-,14,-,10,"9,10,10,11,12,13,13,14,14",e1e2,"f8e7,e8g8,e8g8,b6b3,b6c7,e6d5,e6d5,e8g8,e8g8"
119,2404,2392,1-0,-,-,10,-,-,10,-,e8g8
117,2364,2430,1-0,10,-,8,-,"9,10",8,"e1g1,e1g1",b8c6
120,2398,2444,0-1,-,-,5,-,-,5,-,c7c5
122,2535,2216,1-0,6,-,4,-,6,4,e1g1,c7c6
118,2397,2578,1-0,12,-,-,-,"8,9,10,11,12",8,"d3e4,c4f7,e2e4,e4f3,e1g1",d5d7
121,2410,2446,1-0,11,-,9,-,"10,11,11",9,"e1g1,g2g4,g2g4",e8g8
114,2732,2869,0-1,-,-,11,-,"5,6,7,8,9,10,11,13,14,15","10,11,11","d3e2,h2h3,c1f4,h2h3,e1g1,e1g1,e1g1,e2f3,f3e2,d3c4","f8e7,e8c8,e8g8"
124,2524,2544,1-0,6,-,5,-,"4,5,6",5,"b1c3,d2d3,c2c3",e8g8
126,2529,2541,0-1,9,-,6,-,9,6,c4d5,c8g4
127,2514,2463,0-1,10,-,7,-,10,7,e1g1,e8g8
125,2380,2536,0-1,-,-,-,-,"10,12,13,14,15","10,11,12,13,14,15","e5d3,e1g1,c1c2,c4c5,e5f3","a5a2,e4c3,a2c2,b4e7,f7f6,d5c4"
123,2565,2756,0-1,-,-,-,6,"7,8,9,10,11,12,13,14,15",6,"h2h3,e1g1,g3g4,f3h4,e1g1,c3e4,c3e4,c2c3,g4f5",e5e4
130,2406,2342,1-0,-,-,-,-,-,"12,14,15",-,"h6g8,b8d7,b8d7"
128,2676,2592,0-1,-,-,-,14,10,"12,13,13,14,14",f3d4,"c8d7,a7a6,a7a6,f7f6,f7f6"
129,2466,2515,1-0,5,-,14,-,"4,5","7,8,9,10,11,12,13,14","c2c3,d2d4","e5d4,c5a7,e8g8,c8g4,g4f3,c6d4,e8g8,e8g8"
131,2805,2433,1/2-1/2,-,-,-,15,-,"14,15",-,"g4f3,a6b4"
134,2564,2492,0-1,8,-,8,-,8,8,e1g1,e8g8
132,2443,2509,1-0,7,-,11,-,7,"7,8,9,10,11",d1e2,"e8g8,e8g8,a7a5,d8b6,e8g8"
133,2535,2405,1-0,13,-,6,-,"8,9,10,11,12,13,13",6,"g2g3,e2e3,e4e5,c4d5,d4c5,e1g1,e1g1",e8g8
135,2414,2363,0-1,-,14,-,-,"9,10,11,12,13,14,14","4,5,7,8,9,10,11,15","d2d4,g2f3,g5h6,d2d4,d1d2,d4d5,d4d5","d7d5,f6h5,c8g4,c7c6,g4f3,d8a5,h8h6,a5f5"
138,2510,2423,1/2-1/2,10,-,10,-,10,10,d4d5,d6d5
136,2305,2467,0-1,-,-,-,-,"8,9,10,13,14,15","10,11,12,13,14,15,15","e4d5,d1e2,d5c6,d1d6,d1d6,d6f6","d8d1,b7c6,e8g8,g7f6,e8e7,e8g8,e8g8"
140,2415,2535,0-1,12,-,11,-,12,11,a2a4,e8g8
141,2520,2517,1-0,10,-,11,-,10,11,b1c3,f7f5
137,2542,2584,0-1,13,-,9,-,"4,5,6,7,8,9,10,11,12,13,13",9,"b1c3,f3e5,e1g1,c1b2,e2e5,e5e2,c1b2,c4e2,e1g1,e1g1,e1g1",h7h6
143,2216,2565,0-1,7,-,11,-,7,11,c1e3,h7h6
142,2479,2324,1-0,-,13,-,-,"10,11,12,13","9,10","e5d6,d6e7,e4e7,e1c1","d7d5,c8f5"
145,2493,2238,1-0,6,-,-,-,6,-,e1g1,-
144,2362,2519,1-0,10,-,7,-,10,"5,6,7",c4d5,"h7h6,e7f6,d5c4"
139,2444,2518,1-0,9,-,-,-,"7,8,9","13,14,15,15","c4d3,c3a4,e1g1","d7d6,d7d6,d7d6,d7d6"
148,2370,2445,0-1,6,-,6,-,6,6,c2c4,e8g8
146,2508,2456,1-0,6,-,5,-,"4,5,6",5,"f3g5,e1g1,e1g1",e8g8
149,2323,2500,0-1,6,-,5,-,6,5,d2d4,e8g8
152,2633,2564,1-0,-,-,-,-,-,-,-,-
150,2549,2485,1-0,-,-,7,-,-,7,-,e8g8
151,2427,2346,1/2-1/2,-,14,4,-,"12,13,14,14",4,"b5e2,b1d2,e1c1,e1c1",d7d6
147,2399,2550,0-1,7,-,9,-,"6,7","7,8,9,9","b5e2,e1g1","g8f6,c5d4,d5c6,e8g8"
154,2686,2457,1-0,9,-,4,-,"8,9",4,"e1g1,f4h2",d7d6
153,2638,2560,1-0,12,-,10,-,"10,11,12,12","8,9,10","f3d5,g1e2,e1g1,e1g1","e6f5,f5f4,e8g8"
157,2494,2557,0-1,11,-,12,-,11,"10,11,12,12",a1c1,"e8g8,e8g8,e8g8,e8g8"
159,2637,2430,0-1,9,-,10,-,"7,8,9",10,"b1c3,b2c3,h2h4",e8g8
155,2666,2549,1-0,14,-,14,-,"9,10,11,12,13,13,14,14","11,12,13,13,14,14","d4c5,e1g1,f3g3,b5c6,b5c6,b5c6,e1g1,e1g1","c5d4,e8g8,b6c6,b6c6,e8g8,e8g8"
158,2699,2710,0-1,15,-,7,-,"7,8,9,10,10,11,11,12,13,15,15",7,"e1g1,e1g1,a2a4,a2a3,e1g1,c3d5,c3d5,h6g7,c2c3,f2f4,e1g1",e8g8
161,2537,2433,1-0,-,-,-,-,"9,10",-,"c3b4,a1c1",-
156,2405,2246,0-1,-,-,8,-,"10,11,12,13,14,15","5,6,7,8","c2c3,d1e2,e3d4,d1e2,f3g5,d2f3","b8d7,b8d7,e4g3,c7c5"
163,2580,2524,0-1,7,-,14,-,7,"9,10,14",e1g1,"f5d3,a5d8,e8g8"
162,2421,2216,1-0,13,-,13,-,"7,8,9,10,11,12,13","11,12,13,13","e1g1,b2b3,d3b5,b5d7,e1g1,d1b3,c1d2","d7b5,f8e7,e8g8,e8g8"
165,2691,2519,1-0,10,-,-,-,"7,9,10",-,"b1c3,b4b5,d2d4",-
164,2715,2718,1-0,-,10,7,-,"8,9,10,10",7,"e4f6,c1f4,e4f6,e4f6",f6e4
166,2462,2394,0-1,7,-,7,-,7,7,d4d5,e8g8
167,2207,2466,0-1,9,-,8,-,9,"6,7,8",e1g1,"d8e7,g4e5,e5f3"
170,2411,2579,0-1,9,-,4,-,9,4,e1g1,d7d6
