Id,WhiteElo,BlackElo,Result,WhiteCastlingConsiderationTurn,BlackCastlingConsiderationTurn,WhiteBestMoveAtConsiderationTurn,BlackBestMoveAtConsiderationTurn
195,2538,2502,1-0,"5,6,7","9,10,11","f3e5,e5d7,e1g1","e7b4,b4d2,f8d6"
197,2517,2622,0-1,"10,11,11",7,"e1g1,e1g1,e1g1",e8g8
196,2483,2530,0-1,15,"8,9,10,11,12,13,14",e1g1,"c5e7,c5e7,b7b6,e8g8,e8g8,e8g8,e8g8"
198,2358,2533,0-1,6,"4,5",h2h3,"e8g8,f6h5"
199,2538,2502,1-0,5,-,h2h3,-
200,2580,2705,0-1,6,12,e1g1,f6g4
201,2330,2570,1-0,6,5,e1g1,e8g8
202,2458,2526,1-0,"9,10,11,11,12,12,13,13,14,14,15,15","10,11,13","g5f6,f1b5,b5d7,b5d7,f6e7,f6e7,e7d8,e7d8,d2c4,d2c4,h2h4,h2h4","a7a6,a6b5,e8d8"
203,2528,2463,0-1,"8,11,12",12,"b3d3,d4c2,g3g4",d7d5
204,2377,2514,0-1,"10,11,12,13,14,15","14,15","f3g5,b1c3,b1c3,h5h3,h1g1,h1g1","d6e7,f6d5"
205,2689,2594,1/2-1/2,8,"9,10",h2h3,"f6h5,e8g8"
206,2651,2436,1-0,12,"7,8,9,10,11,12",e1g1,"e7d8,e8g8,g6e5,e5g6,c7c6,c7c6"
208,2607,2497,0-1,6,"9,10,11,12,13,13",d2d4,"b8c6,f6d5,f6d5,d6d5,d6d5,d6d5"
207,2635,2598,0-1,8,7,c3e2,c7c5
209,2591,2426,1-0,8,9,e1g1,e8g8
210,2530,2405,1-0,"4,5,6,7,8,9,10,11,12,13,14,15","5,6,7,8,9,10,11,12,13,13,14,14","f3g5,c2c3,a2a4,e1g1,e1g1,e1g1,f3d2,g2g3,g2g3,c4e6,e1g1,d4d5","d7d6,a7a5,e8g8,c8e6,c5e3,f6e4,d8h4,f7f5,f7f5,f7f5,g4g3,g4g3"
212,2522,2525,1-0,"10,11,12,13,14,14,15,15",5,"f4e5,a4a5,b5d3,e5f6,e1g1,e1g1,d2e4,d2e4",f6h5
211,2766,2646,1-0,"12,13,13,14,14,15,15","12,13,14,15","b2b4,a1c1,a1c1,e1g1,e1g1,e1g1,e1g1","d7b6,d8e7,a7a5,g4e6"
213,2521,2551,1-0,"7,8,9,10",6,"d3e2,a2a3,d2d3,e1g1",a7a6
214,2549,2418,1-0,7,"6,7",e1g1,"e8g8,e8g8"
215,2418,2518,0-1,8,9,d4d5,e8g8
216,2505,2691,1-0,"9,10,11,12","8,13","g1e2,c3e4,g5f6,g1e2","h7h6,e6f4"
218,2823,2634,1-0,7,9,e1g1,e8g8
217,2718,2618,0-1,7,"8,9",d2c4,"d6c7,c8e6"
219,2702,2575,1-0,"7,8,9,10,11",7,"d1c2,a2a3,c4d3,c3a4,e4e5",e8g8
221,2505,2625,1-0,8,7,e1g1,b7b6
220,2508,2502,1-0,6,5,e1g1,e8g8
222,2430,2573,1-0,"9,10",8,"d1c2,e1g1",c8g4
223,2382,2508,0-1,10,"6,7",e4e5,"c6b8,d7d6"
224,2485,2515,0-1,6,"9,10,11,12",a2a4,"e8g8,d6e5,d7c5,c8f5"
225,2617,2432,1-0,"9,10","12,13,14,15","c2c4,e1g1","c6c5,e7c5,a6c6,c5e7"
226,2504,2611,1-0,"11,13,14","6,7,8,9,10,11,12,14,14","e3c5,c5d4,e1c1","e4c3,e8g8,d8b6,d8b6,d8b6,e7c5,e7c5,e8g8,e8g8"
227,2658,2648,1-0,5,5,b1c3,d6c7
228,2509,2459,0-1,8,13,e5c6,b4b7
229,2500,2552,0-1,9,8,e1g1,a7a6
230,2815,2817,0-1,8,"7,8",e1g1,"e8g8,d7d6"
231,2612,2798,1/2-1/2,"4,5,6,7,8",7,"b1c3,c2c3,e1g1,e1g1,e1g1",e7e6
232,2572,2574,0-1,7,8,a2a4,b7b5
233,2507,2522,1-0,9,8,e1g1,d5c4
234,2400,2562,0-1,7,"8,9,10",e1g1,"b8d7,e8g8,e8f7"
235,2794,2608,1-0,11,4,d1d2,c7c5
236,2511,2599,1-0,7,9,e1g1,e8g8
237,2478,2631,0-1,15,"10,11,12,13,14,15",a1a4,"h7h5,h5h4,c6c5,c5d4,d8c7,b8d7"
238,2595,2481,1-0,"11,12",4,"e3e4,e1g1",d7d5
239,2412,2544,0-1,8,7,h2h3,e8g8
240,2630,2508,1/2-1/2,"7,8,9,10,10,11,11",7,"b5c6,b5c6,d1f3,f3h3,f3h3,h3g3,h3g3",e8c8
241,2873,2729,1-0,"6,7,8,9,10,11,12","8,9,10,11,12","d2d4,d2d4,e1g1,f3d4,e3d4,c4d5,e1g1","c5d4,e8g8,d7d5,e6d5,e8g8"
242,2460,2530,1-0,"9,10","10,14","b1d2,b1a3","c8d7,e7f5"
243,2633,2483,1-0,"10,11,12",5,"b2c3,d3c4,e1g1",h7h6
244,2510,2507,1-0,7,15,e1g1,c8d7
245,2660,2594,1-0,-,"8,9,10,11,13,14,14,15,15",-,"h5g4,f6d5,e8g8,f4g6,d8d7,b7b5,b7b5,e6d8,e6d8"
246,2516,2605,1-0,-,"7,8,9,10",-,"c5e7,e5d4,d7d5,g7g6"
247,2647,2366,1-0,8,"5,6,7",e1g1,"f6d5,d5b6,c7c5"
248,2745,2489,0-1,"6,7,8","12,13,14,15","d2d4,c4b3,f3e5","f6e4,d7f6,e8g8,d8c7"
249,2833,2907,1-0,"11,12,13,13,14,14,15,15",-,"a3f8,f1d3,e4e5,e4e5,c3e4,c3e4,b3a3,b3a3",-
251,2431,2550,0-1,"6,7,8,9","12,13","c2c3,e1g1,d3c2,c1f4","d7e5,e8g8"
250,2606,2448,1-0,7,"5,6,7,8,9,10,11",e1g1,"c7c5,b8c6,e8g8,e8g8,f6d5,c8b7,e8g8"
254,2675,2744,0-1,7,"7,8,9,10",c1d2,"a7a6,d7g4,g4f3,e7e6"
252,2648,2626,0-1,"9,10",7,"d1d2,e1g1",b8a6
253,2807,2654,0-1,-,7,-,e8g8
255,2300,2560,1-0,"9,10,11,12,13,13","4,5","f1d3,e4d5,e4d5,f1e2,e1g1,e1g1","d7d6,e8g8"
256,2522,2533,1/2-1/2,9,7,c1e3,c7c6
257,2435,2550,0-1,5,5,c2c4,e8g8
258,2487,2561,1-0,"4,5,6,7,8",9,"c2c4,c2c4,c2c4,e1g1,e1g1",d8b6
260,2544,2497,1-0,"7,8,9,14,15","11,12,13,14,15","b5d3,f3d2,f3d2,e1d2,a4b5","h3g2,h5h4,h3g2,b7b6,a6b5"
259,2544,2575,0-1,"10,11,12,13,13","5,6","f3e5,h3h4,d1d2,e1c1,e1c1","b8a6,f6h5"
261,2544,2423,1/2-1/2,4,"9,10,10",d2d4,"e8g8,d5e4,d5e4"
262,2549,2575,0-1,"7,8,9,10,11,12,13,14,15",5,"e1g1,d4e5,g2g4,f2f3,a2a3,e1g1,e3h6,a3b4,c4c5",e8g8
263,2521,2392,1-0,"8,9,10,11,14,14,15,15","12,13,14,14","b1c3,b1c3,b1c3,e1g1,d2c4,d2c4,e1g1,e1g1","a5d2,f8e7,e8d7,e8d7"
264,2415,2511,0-1,"6,7,8,9",9,"b5c6,c3d4,b1c3,e1g1",a6a5
265,2506,2469,0-1,6,7,c2c3,d7d6
266,2503,2422,0-1,9,"8,9,10,11",c1g5,"h7h6,c8e6,h7h6,e8g8"
267,2537,2538,1/2-1/2,"6,7,8",7,"e1g1,d1b3,e1g1",b4c3
