Id,WhiteElo,BlackElo,Result,WhiteAttackIncrease,BlackAttackIncrease,WhiteCentralizationIncrease,BlackCentralizationIncrease
78038,1091,1071,1-0,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0","0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
78039,1866,1821,0-1,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0","0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0","0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0"
78042,2274,2293,0-1,"1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0","1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0","0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0"
78040,1447,1360,0-1,"1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0","0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0","1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
78043,1582,1580,0-1,"1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0","0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78035,1037,1051,0-1,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0","0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1","1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
78045,1905,1972,1-0,"1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
78041,1085,1165,1-0,"1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0","0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0","1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1"
78047,1477,1454,0-1,"1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
78044,1886,1881,0-1,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0","0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1","1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0","0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
78051,1396,1414,0-1,"1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1","1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
78048,1918,1889,1/2-1/2,"1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0","0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
