Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
64053,1094,1039,1-0,8,1,8,2
64055,1108,942,1-0,5,0,10,1
64054,2083,2110,1-0,8,3,10,0
64056,1458,1460,1-0,7,1,10,0
64057,1893,1827,1-0,8,0,10,1
64059,1628,1631,0-1,8,2,9,3
64062,1548,1521,1-0,10,2,7,3
64060,1666,1680,1-0,8,2,7,3
64061,1727,1739,1-0,7,0,5,0
64058,970,942,0-1,10,2,10,2
64063,1737,1690,1-0,9,1,8,2
64066,1758,1732,0-1,5,2,10,2
64065,1624,1643,0-1,5,1,7,1
64072,1953,1954,1-0,6,4,7,2
64069,1399,1287,0-1,7,2,7,1
64070,2086,2104,1-0,7,1,7,1
64067,1695,1726,0-1,8,2,8,4
64064,1664,1619,0-1,10,1,5,2
64068,1679,1665,0-1,6,2,10,1
64071,1694,1852,0-1,10,2,9,2
64080,2202,2255,1-0,5,2,9,2
64073,740,777,1-0,5,2,9,4
64076,1752,1771,0-1,10,1,6,3
64074,1592,1678,0-1,6,3,9,2
64077,1844,1853,1-0,9,1,7,2
64082,1230,1232,1-0,7,2,9,1
64075,2237,2176,1-0,7,1,10,2
64085,1148,1039,0-1,5,3,8,2
64081,1813,1870,1-0,9,1,6,1
64078,1045,1031,1-0,10,0,9,1
64084,1898,1882,1-0,9,2,8,2
64086,1735,1735,1-0,9,3,7,3
64088,1600,1680,0-1,9,2,5,3
64079,1151,1221,1-0,10,1,10,1
64087,1403,1371,1-0,10,3,9,3
64091,1545,1528,0-1,5,3,4,2
64094,1682,1685,0-1,7,3,5,1
64083,1602,1602,0-1,8,0,10,1
64089,1342,1289,1-0,7,2,9,3
64096,1480,1588,1-0,6,2,8,1
64092,1554,1511,1-0,5,2,6,2
64097,1203,1163,1-0,8,1,5,2
64095,1406,1312,0-1,10,2,8,2
64090,1621,1642,0-1,10,1,7,1
64098,1384,1398,1-0,10,1,10,1
64093,1121,1133,1-0,10,2,10,2
64105,2085,2015,1-0,10,2,6,4
64102,1561,1581,1-0,10,2,8,2
64108,1693,1689,1-0,5,3,4,2
64104,1541,1509,1-0,4,1,3,0
64101,1939,1977,1-0,9,2,7,2
64110,2160,2149,1-0,5,2,8,2
64103,1520,1784,1-0,8,3,10,2
64109,1735,1730,0-1,10,0,10,2
64099,1452,1443,1-0,10,1,10,2
64100,1055,1121,1-0,10,3,8,3
64111,1878,1869,0-1,8,3,10,3
64113,1730,1722,1-0,5,1,9,2
64107,990,955,1-0,8,4,10,2
64117,1900,1803,1-0,8,2,8,3
64116,1500,1397,0-1,10,2,10,2
64114,1386,1319,0-1,10,0,10,0
64118,1145,1161,0-1,7,1,10,1
64106,1733,1747,0-1,10,2,10,1
64115,1038,1083,1-0,10,0,10,2
64124,1876,1793,0-1,3,2,4,2
64112,1016,992,1-0,10,0,10,2
64121,1866,1866,0-1,7,3,10,2
64122,1781,1744,1-0,10,3,9,2
64119,971,913,0-1,10,3,6,2
64126,1959,2029,1-0,10,1,7,4
64128,2125,2162,1-0,7,1,7,2
64120,1735,1716,1-0,8,3,7,2
64130,2152,2175,1-0,10,2,5,1
64125,1161,1344,0-1,8,0,7,1
64127,2205,2156,0-1,8,2,5,2
64129,1490,1773,0-1,9,2,5,2
64131,1560,1560,1-0,10,2,5,2
64134,1919,1920,1-0,6,3,8,1
64132,1948,1951,0-1,5,2,9,3
64135,1302,1327,0-1,7,3,6,3
64123,1063,1119,1-0,10,1,10,0
64136,1664,1668,1-0,4,1,10,2
