Id,WhiteElo,BlackElo,Result,ConsideredMovesWhite,BestPieceMovesCountWhite,ConsideredMovesBlack,BestPieceMovesCountBlack
18840,1860,1854,1-0,10,1,8,0
18839,805,786,1-0,8,1,7,1
18841,1684,1552,1-0,5,2,8,3
18837,1609,1749,0-1,6,0,10,1
18842,1385,1390,0-1,9,2,4,2
18843,1771,1767,1-0,7,1,6,1
18846,1244,1227,1-0,7,2,7,2
18847,1373,1316,1-0,5,2,7,2
18852,1256,1249,1-0,5,1,4,1
18849,1562,1559,1-0,10,2,7,3
18844,1382,1328,0-1,6,1,9,2
18854,1668,1651,1-0,7,4,9,3
18850,1913,1894,1-0,9,3,6,1
18848,1232,1160,0-1,10,1,6,1
18851,1998,1978,1-0,5,3,10,1
18857,1480,1477,1-0,10,3,7,3
18853,1128,1230,1-0,7,1,10,1
18856,1669,1679,0-1,6,1,10,2
18863,1402,1362,1-0,8,1,9,2
18855,1029,964,1-0,10,2,5,2
18845,1772,1770,1-0,8,3,10,1
18861,1524,1598,1-0,10,1,7,2
18864,1168,1168,1/2-1/2,4,1,5,3
18858,1468,1478,0-1,8,2,9,3
18865,1654,1649,1-0,5,1,10,1
18859,1027,997,1-0,9,2,10,0
18866,1777,1801,0-1,8,2,4,1
18869,1840,1868,1-0,5,1,7,2
18871,1470,1430,1-0,7,4,9,3
18862,1011,969,0-1,9,2,10,2
18875,1616,1584,0-1,6,3,5,2
18870,1559,1588,0-1,10,2,10,3
18867,2175,2185,1-0,9,2,10,3
18873,1680,1713,1-0,10,3,9,3
18872,2069,1983,1-0,10,3,7,3
18860,939,979,1-0,10,2,10,3
18868,1166,1154,0-1,10,2,10,2
18874,1750,1760,1-0,8,1,10,2
18882,1849,1834,0-1,6,2,8,1
18877,1801,1800,0-1,9,3,6,2
18881,1184,1201,0-1,10,2,9,4
18878,1657,1663,0-1,8,2,9,2
18883,1304,1320,0-1,9,2,8,4
18876,1773,1690,1-0,10,3,9,1
18879,2185,2215,0-1,9,0,10,2
18884,1734,1758,1-0,10,2,8,1
18888,1827,1747,1/2-1/2,7,1,9,4
18880,1292,1275,0-1,10,1,10,2
18886,1503,1496,0-1,7,1,8,1
18893,1451,1437,1-0,5,3,5,1
18890,2089,2036,0-1,5,3,5,3
18889,1341,1292,1-0,9,2,4,2
18887,1742,1735,0-1,8,3,10,1
18885,1297,1368,0-1,9,2,10,1
18895,2083,2030,1-0,5,0,8,1
18891,1245,1199,0-1,6,0,6,2
18900,1615,1643,1-0,6,3,10,2
18894,1451,1448,0-1,9,1,8,2
18892,1604,1740,1-0,10,2,8,1
18897,1547,1541,1-0,6,2,7,2
18896,1823,1826,1-0,7,2,7,2
18904,1730,1749,1-0,5,2,6,2
18902,1753,1702,1-0,8,3,8,1
18901,1930,1934,1-0,10,3,10,3
18899,1664,1620,1-0,7,3,10,2
18903,1708,1709,1-0,10,1,7,3
18905,1428,1444,1-0,9,3,8,0
18907,1724,1765,0-1,6,3,10,2
18911,1864,1852,0-1,7,2,9,3
18898,1098,1095,0-1,5,4,10,2
18906,1520,1455,0-1,8,1,10,1
18912,1529,1467,0-1,8,1,4,2
18908,1706,1490,0-1,8,2,7,0
18913,865,877,1-0,6,2,10,2
18909,1105,1155,1-0,10,3,9,3
18910,1547,1550,1-0,10,0,10,0
18914,1316,1319,0-1,8,1,7,2
18917,1763,1771,1-0,7,4,10,1
18915,1269,1241,0-1,8,3,10,2
18916,1962,1935,1/2-1/2,10,2,7,1
18918,1442,1469,1-0,10,2,7,1
18926,2017,1826,1-0,10,2,9,2
18920,1866,1855,1-0,8,2,9,2
18921,1549,1511,1-0,8,2,5,0
18919,1343,1378,1-0,9,1,5,1
18923,1419,1419,1-0,7,2,7,1
18927,1563,1563,1-0,8,3,6,3
18922,1385,1452,1-0,8,1,7,2
18931,1300,1302,1-0,10,0,9,1
18930,1547,1562,1-0,7,3,7,2
18925,1610,1671,1-0,10,2,6,1
18924,1306,1333,0-1,10,2,4,2
18933,1517,1616,1-0,7,2,8,3
18932,1467,1464,0-1,10,1,10,1
18929,1276,1278,0-1,9,2,7,1
18928,1111,1061,1/2-1/2,10,1,6,0
18934,1758,1718,1-0,10,1,6,1
18935,1015,921,0-1,7,1,8,2
18938,2164,2169,0-1,8,2,10,2
18944,1419,1502,1-0,8,1,4,2
18936,1592,1357,1-0,7,3,9,3
18939,1353,1342,1-0,10,4,8,3
18940,1822,1792,1-0,10,2,6,3
18937,2163,2138,0-1,10,1,9,2
18941,1930,1798,1-0,7,3,9,2
18949,1365,1442,0-1,8,2,6,3
18950,1274,1275,0-1,7,1,3,1
18945,1918,1946,0-1,8,2,7,0
18951,1289,1358,0-1,6,3,4,2
18942,1728,1700,0-1,9,2,7,2
18943,1201,1228,1-0,10,2,10,1
18954,1441,1429,1-0,10,1,4,2
18955,1218,1208,0-1,5,3,5,3
18958,2053,2103,0-1,6,2,6,3
18948,1213,1158,0-1,10,1,8,2
18957,1441,1424,1-0,10,2,8,2
18960,1976,2032,0-1,7,3,6,3
18959,1628,1628,1-0,6,1,7,2
18946,1132,958,1-0,7,1,10,1
18953,1955,1935,1-0,10,2,10,3
18952,1306,1299,1-0,10,2,10,2
18947,972,865,1-0,7,3,10,2
18967,1459,1498,0-1,5,2,3,1
18956,861,842,0-1,6,1,6,1
18964,1110,1078,1-0,10,2,9,3
18963,1136,1107,0-1,7,1,10,3
18965,2041,2056,1-0,10,3,8,3
18961,1156,1148,0-1,4,1,10,1
18962,1041,1031,1-0,9,0,10,3
18968,1562,1529,0-1,6,3,7,0
18971,1240,1324,0-1,6,2,6,4
18976,1121,1076,1-0,4,1,3,0
18970,1070,1072,1-0,3,2,7,2
18974,1636,1727,0-1,10,0,10,0
18966,1582,1631,1-0,8,3,10,1
18969,2056,2100,1-0,7,1,10,1
18978,1231,1201,0-1,6,3,10,2
18975,1131,1146,0-1,4,1,9,0
18977,1578,1594,0-1,9,3,10,2
